City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Kismayo,SO,-0.3582,42.5454,83.08,64,39,15.05,scattered clouds
240,Sao Filipe,CV,14.8961,-24.4956,74.82,62,0,15.97,clear sky
241,Merauke,ID,-8.4667,140.3333,81.73,83,99,10.31,overcast clouds
242,Itoman,JP,26.1247,127.6694,70.57,85,20,4.61,few clouds
243,Daru,PG,-9.0763,143.2092,81.16,85,94,8.21,overcast clouds
244,Wichita Falls,US,33.9137,-98.4934,39.25,42,0,13.8,clear sky
245,Amarpur,IN,25.0333,86.9,82.15,17,0,2.91,clear sky
246,Ferrol,ES,43.4832,-8.2369,52.32,83,100,18.61,overcast clouds
247,Tignere,CM,7.3667,12.65,93.29,13,46,5.77,scattered clouds
248,College,US,64.8569,-147.8028,-11.25,64,0,0.0,clear sky
249,Egvekinot,RU,66.3167,-179.1667,7.7,48,0,8.39,clear sky
250,Cartagena,CO,10.3997,-75.5144,80.22,83,75,3.44,haze
251,Biella,IT,45.5871,8.0859,46.18,59,93,4.36,overcast clouds
252,Rafai,CF,4.95,23.9167,94.57,28,100,1.34,overcast clouds
253,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,20,10.36,few clouds
254,Mana,GF,5.6592,-53.7767,78.08,89,95,8.14,light rain
255,Rundu,NA,-17.9333,19.7667,76.12,61,100,3.67,light rain
256,Minot,US,48.2325,-101.2963,25.02,80,0,10.36,clear sky
257,Choix,MX,26.7092,-108.3219,54.54,27,14,5.46,few clouds
258,Pitimbu,BR,-7.4706,-34.8086,81.19,69,98,6.29,overcast clouds
259,Kudahuvadhoo,MV,2.6708,72.8944,83.46,69,10,8.86,clear sky
260,Marrakesh,MA,31.6315,-8.0083,69.87,52,2,4.61,clear sky
261,Miandrivazo,MG,-19.5167,45.4667,90.23,50,100,5.91,overcast clouds
262,Lander,US,42.833,-108.7307,32.4,64,40,4.61,scattered clouds
263,Orotukan,RU,62.2667,151.7,-8.43,100,100,3.85,overcast clouds
264,Aqtobe,KZ,50.2797,57.2072,14.09,67,0,4.47,clear sky
265,Jardim,BR,-21.4803,-56.1381,70.03,98,100,4.21,light rain
266,Curitibanos,BR,-27.2828,-50.5844,57.92,100,100,3.24,overcast clouds
267,Bereda,ES,43.2686,-7.5406,49.14,76,90,9.8,light rain
268,Ostrovnoy,RU,68.0531,39.5131,28.02,83,100,10.54,overcast clouds
269,Husavik,IS,66.0449,-17.3389,31.41,75,5,10.96,clear sky
270,Kloulklubed,PW,7.0419,134.2556,77.5,80,100,13.6,overcast clouds
271,Chernihiv,UA,51.0,32.0,33.82,59,100,6.85,overcast clouds
272,Somerset East,ZA,-32.7217,25.588,70.21,85,98,18.14,heavy intensity rain
273,Sterling,US,39.0062,-77.4286,25.66,58,20,4.61,few clouds
274,Yinchuan,CN,38.4681,106.2731,56.5,26,91,5.7,overcast clouds
275,Ulsteinvik,NO,62.3432,5.8487,53.73,65,100,5.75,overcast clouds
276,Dingle,PH,10.9995,122.6711,78.57,89,100,6.22,overcast clouds
277,Okha,RU,53.5739,142.9478,5.68,100,80,4.12,broken clouds
278,Nampula,MZ,-15.1165,39.2666,76.95,88,75,14.97,thunderstorm with light rain
279,Sokoni,TZ,-6.4333,39.55,82.31,69,15,12.08,few clouds
280,Pinawa,CA,50.1489,-95.8811,6.53,94,100,8.97,overcast clouds
281,Aleppo,SY,36.25,37.5,40.06,93,100,3.69,light rain
282,Harindanga,IN,22.0383,88.3214,84.27,21,100,4.34,overcast clouds
283,Antofagasta,CL,-23.65,-70.4,65.48,72,31,3.89,scattered clouds
284,Berlevag,NO,70.8578,29.0864,36.03,88,90,9.37,overcast clouds
285,Nefteyugansk,RU,61.0998,72.6035,4.68,93,100,6.38,overcast clouds
286,Bara,NG,10.3744,10.7288,98.44,9,100,9.28,overcast clouds
287,Vagur,FO,61.4732,-6.8119,44.4,90,100,25.52,overcast clouds
288,Port Macquarie,AU,-31.4333,152.9167,64.89,83,9,2.82,clear sky
289,Nurota,UZ,40.5614,65.6886,53.17,47,100,5.73,overcast clouds
290,Richards Bay,ZA,-28.783,32.0377,89.26,53,0,18.48,clear sky
291,Kpandu,GH,6.9954,0.2931,89.71,50,85,3.62,overcast clouds
292,Tyler,US,32.3513,-95.3011,38.89,65,0,6.91,clear sky
293,Conakry,GN,9.538,-13.6773,79.74,70,9,7.81,clear sky
294,Ahuimanu,US,21.4447,-157.8378,73.85,78,20,8.05,few clouds
295,Shahrud,IR,36.4182,54.9763,64.51,20,0,17.9,clear sky
296,Robertsport,LR,6.7533,-11.3686,81.84,77,100,5.19,light rain
297,Alyangula,AU,-13.8483,136.4192,82.27,89,100,0.0,overcast clouds
298,Poum,NC,-20.2333,164.0167,81.66,78,22,16.37,few clouds
299,Todos Santos,MX,23.45,-110.2167,63.18,30,11,3.02,few clouds
300,Kathmandu,NP,27.7167,85.3167,70.02,52,20,4.61,few clouds
301,Tiksi,RU,71.6872,128.8694,-22.27,100,97,3.42,overcast clouds
302,Oriximina,BR,-1.7656,-55.8661,77.43,91,99,2.19,moderate rain
303,Auburn,US,47.3073,-122.2284,45.45,92,20,1.99,few clouds
304,Saint-Pierre,RE,-21.3393,55.4781,79.92,86,75,24.16,broken clouds
305,Codrington,AU,-38.2667,141.9667,61.23,95,18,8.66,few clouds
306,Cochrane,CA,51.1834,-114.4687,30.47,55,100,7.72,light snow
307,Rocha,UY,-34.4833,-54.3333,66.56,60,77,3.71,broken clouds
308,Palmerston,AU,-12.486,130.9833,75.18,94,75,5.75,light intensity shower rain
309,Port Hardy,CA,50.6996,-127.4199,42.8,87,100,10.36,overcast clouds
310,Zhuhai,CN,22.2769,113.5678,78.85,94,0,3.44,clear sky
311,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,51,0,13.8,clear sky
312,Denpasar,ID,-8.65,115.2167,82.06,83,75,10.36,broken clouds
313,Parainen,FI,60.3067,22.301,46.85,76,100,4.63,overcast clouds
314,Pocola,US,35.2312,-94.478,36.14,75,0,0.0,clear sky
315,Tigil,RU,57.8,158.6667,0.55,99,33,2.53,scattered clouds
316,Vila,PT,42.0304,-8.1588,41.88,89,100,7.38,overcast clouds
317,Homer,US,59.6425,-151.5483,35.8,81,0,11.99,clear sky
318,Tsumeb,NA,-19.2333,17.7167,72.84,69,100,8.79,light rain
319,Simao,CN,22.7886,100.9748,70.72,34,0,1.92,clear sky
320,Margate,GB,51.3813,1.3862,50.7,77,100,8.01,light rain
321,Sombrio,BR,-29.1139,-49.6167,69.93,96,100,3.09,moderate rain
322,Novo Aripuana,BR,-5.1206,-60.3797,79.16,85,100,2.42,overcast clouds
323,Nicoya,CR,10.1483,-85.452,76.42,72,6,7.58,clear sky
324,Ulaanbaatar,MN,47.9077,106.8832,24.93,86,75,2.24,broken clouds
325,Olga,RU,43.7444,135.2892,28.58,97,29,3.67,scattered clouds
326,Atar,MR,20.5169,-13.0499,88.03,6,0,8.93,clear sky
327,Kodiak,US,57.79,-152.4072,36.91,87,100,10.36,overcast clouds
328,Barra Patuca,HN,15.8,-84.2833,78.22,81,3,5.1,clear sky
